KEYS,,DECK-SELECTED,,,,CH0,CH1,CH2,LED,,,,,,,,
,,,PULL,ON/OFF,OFF,93,6,0,0,147,6,0,,,,,
,SHIFT,DECK A,PUSH,ON/OFF,ON,91,46,7F,7F,145,70,127,145,70,127,blink,20
,,,PULL,ON/OFF,OFF,91,46,0,0,145,70,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,93,46,7F,7F,147,70,127,147,70,127,blink,20
,,,PULL,ON/OFF,OFF,93,46,0,0,147,70,0,,,,,
2 L,NO SHIFT,DECK A,PUSH,ON/OFF,ON,91,7,7F,7F,145,7,127,145,7,127,blink,20
,,,PULL,ON/OFF,OFF,91,7,0,0,145,7,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,93,7,7F,7F,147,7,127,147,7,127,blink,20
,,,PULL,ON/OFF,OFF,93,7,0,0,147,7,0,,,,,
,SHIFT,DECK A,PUSH,ON/OFF,ON,91,47,7F,7F,145,71,127,145,71,127,blink,20
,,,PULL,ON/OFF,OFF,91,47,0,0,145,71,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,93,47,7F,7F,147,71,127,147,71,127,blink,20
,,,PULL,ON/OFF,OFF,93,47,0,0,147,71,0,,,,,
3 L,NO SHIFT,DECK A,PUSH,ON/OFF,ON,91,8,7F,7F,145,8,127,145,8,127,blink,20
,,,PULL,ON/OFF,OFF,91,8,0,0,145,8,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,93,8,7F,7F,147,8,127,147,8,127,blink,20
,,,PULL,ON/OFF,OFF,93,8,0,0,147,8,0,,,,,
,SHIFT,DECK A,PUSH,ON/OFF,ON,91,48,7F,7F,145,72,127,145,72,127,blink,20
,,,PULL,ON/OFF,OFF,91,48,0,0,145,72,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,93,48,7F,7F,147,72,127,147,72,127,blink,20
,,,PULL,ON/OFF,OFF,93,48,0,0,147,72,0,,,,,
4 L,NO SHIFT,DECK A,PUSH,ON/OFF,ON,91,9,7F,7F,145,9,127,145,9,127,blink,20
,,,PULL,ON/OFF,OFF,91,9,0,0,145,9,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,93,9,7F,7F,147,9,127,147,9,127,blink,20
,,,PULL,ON/OFF,OFF,93,9,0,0,147,9,0,,,,,
,SHIFT,DECK A,PUSH,ON/OFF,ON,91,49,7F,7F,145,73,127,145,73,127,blink,20
,,,PULL,ON/OFF,OFF,91,49,0,0,145,73,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,93,49,7F,7F,147,73,127,147,73,127,blink,20
,,,PULL,ON/OFF,OFF,93,49,0,0,147,73,0,,,,,
CUP L,NO SHIFT,DECK A,PUSH,ON/OFF,ON,91,A,7F,7F,145,10,127,145,10,127,blink,20
,,,PULL,ON/OFF,OFF,91,A,0,0,145,10,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,93,A,7F,7F,147,10,127,147,10,127,blink,20
,,,PULL,ON/OFF,OFF,93,A,0,0,147,10,0,,,,,
,SHIFT,DECK A,PUSH,ON/OFF,ON,91,4A,7F,7F,145,74,127,145,74,127,blink,20
,,,PULL,ON/OFF,OFF,91,4A,0,0,145,74,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,93,4A,7F,7F,147,74,127,147,74,127,blink,20
,,,PULL,ON/OFF,OFF,93,4A,0,0,147,74,0,,,,,
CUE L,NO SHIFT,DECK A,PUSH,ON/OFF,ON,91,B,7F,7F,145,11,127,145,11,127,blink,20
,,,PULL,ON/OFF,OFF,91,B,0,0,145,11,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,93,B,7F,7F,147,11,127,147,11,127,blink,20
,,,PULL,ON/OFF,OFF,93,B,0,0,147,11,0,,,,,
,SHIFT,DECK A,PUSH,ON/OFF,ON,91,4B,7F,7F,145,75,127,145,75,127,blink,20
,,,PULL,ON/OFF,OFF,91,4B,0,0,145,75,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,93,4B,7F,7F,147,75,127,147,75,127,blink,20
,,,PULL,ON/OFF,OFF,93,4B,0,0,147,75,0,,,,,
PLAY/PAUSE L,NO SHIFT,DECK A,PUSH,ON/OFF,ON,91,C,7F,7F,145,12,127,145,12,127,blink,20
,,,PULL,ON/OFF,OFF,91,C,0,0,145,12,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,93,C,7F,7F,147,12,127,147,12,127,blink,20
,,,PULL,ON/OFF,OFF,93,C,0,0,147,12,0,,,,,
,SHIFT,DECK A,PUSH,ON/OFF,ON,91,4C,7F,7F,145,76,127,145,76,127,blink,20
,,,PULL,ON/OFF,OFF,91,4C,0,0,145,76,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,93,4C,7F,7F,147,76,127,147,76,127,blink,20
,,,PULL,ON/OFF,OFF,93,4C,0,0,147,76,0,,,,,
SHIFT L,,DECK A,PUSH,ON/OFF,ON,91,E,7F,7F,145,14,127,145,14,127,blink,20
,,,PUSH,ON/OFF,OFF,91,E,0,0,145,14,0,,,,,
,,DECK C,PULL,ON/OFF,ON,93,E,7F,7F,147,14,127,147,14,127,blink,20
,,,PULL,ON/OFF,OFF,93,E,0,0,147,14,0,,,,,
DECK B/D,LED-OFF,DECK B,,DECK,ON,90,3A,0,LED OFF,144,58,0,,,,,
,,,,,OFF,90,3B,7F,,144,59,127,,,,,
,LED-ON,DECK D,,DECK,ON,90,3B,0,LED ON,144,59,0,,,,,
,,,,,OFF,90,3A,7F,,144,58,127,,,,,
VINYL MODE R,NO SHIFT,DECK A,PUSH,ON/OFF,ON,92,1,7F,7F,146,1,127,146,1,127,blink,20
,,,PULL,ON/OFF,OFF,92,1,0,0,146,1,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,94,1,7F,7F,148,1,127,148,1,127,blink,20
,,,PULL,ON/OFF,OFF,94,1,0,0,148,1,0,,,,,
,SHIFT,DECK A,PUSH,ON/OFF,ON,92,41,7F,7F,146,65,127,146,65,127,blink,20
,,,PULL,ON/OFF,OFF,92,41,0,0,146,65,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,94,41,7F,7F,148,65,127,148,65,127,blink,20
,,,PULL,ON/OFF,OFF,94,41,0,0,148,65,0,,,,,
IN R,NO SHIFT,DECK A,PUSH,ON/OFF,ON,92,2,7F,7F,146,2,127,146,2,127,blink,20
,,,PULL,ON/OFF,OFF,92,2,0,0,146,2,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,94,2,7F,7F,148,2,127,148,2,127,blink,20
,,,PULL,ON/OFF,OFF,94,2,0,0,148,2,0,,,,,
,SHIFT,DECK A,PUSH,ON/OFF,ON,92,42,7F,7F,146,66,127,146,66,127,blink,20
,,,PULL,ON/OFF,OFF,92,42,0,0,146,66,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,94,42,7F,7F,148,66,127,148,66,127,blink,20
,,,PULL,ON/OFF,OFF,94,42,0,0,148,66,0,,,,,
